<<<<<<< HEAD
,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,product_id,product_name,product_price,product_link,Product_desc,Expert Review,Customer Review,Appearance,Nose,Palate,Food Pairing,Alcohol percentage,Bottle volume ml,Gift box,Country of origin,Varietal,Brand
0,0,0,0,0,product_3430,12-x-erdinger-dunkel-beer-bottle-500ml,59.95,https://www.paneco.com.sg/products/12-x-erdinger-dunkel-beer-bottle-500ml,"Guillaume and Aude Lavollée represent the fourth generation of vignerons at Génot-Boulanger. Their wines are produced exclusively from estate-owned vineyards, located along all three Burgundy côtes, from Chambolle Musigny, down to the domaine in Meursault, and on to Mercurey. With 22 hectares, Génot-Boulanger is one of only a few family-owned Burgundian domaines to produce such a diverse range.",,,Golden yellow,"Pear, peach, citrus and acacia notes"," Friendly, full-bodied and fresh with good acidity and complexity","['Seafood', 'Pasta', 'Cheese']",5.3,12 x 500.0ml,No,Germany,Wheat,Erdinger
1,1,1,1,0,product_505,12-x-erdinger-weissbier-beer-bottle-500ml,58.5,https://www.paneco.com.sg/products/12-x-erdinger-weissbier-beer-bottle-500ml,"12 Bottle Case of fine Baverian Beer. Every sip leaves you wanting more – ERDINGER wheat beer with fine yeast is the crowning glory of traditional Bavarian brewing skills. The strength of this classic wheat beer lies in the harmonious balance it achieves between the various aromas. Gently spicy wheat and yeast aromas blend with mildly bitter hops. The invigorating carbon dioxide ensures its typical liveliness. A premium beer whose full-bodied yet elegant character leaves a lasting impression of ultimate Bavarian enjoyment. A truly unique wheat beer! ERDINGER Weissbrau allows its top-fermenting specialty to mature in the bottle in the traditional manner, just like champagne. This wheat beer from Erding offers more than just sparkling refreshment – it gives a true taste of Bavaria.","“ERDINGER Weissbier with fine yeast is the undisputed classic which can be enjoyed with all meals. Whether mixed salad, tender chicken, fish, cheese or even desserts – the fine flavour of this premium wheat beer makes any meal even more delicious.”","Definitely makes it to number #1 on my list of Weissbier. Light golden colour with very aromatic wheat smell. Nicely carbonated, perfect balance between the malt and spice. ",,,,[],5.3,12 x 500.0ml,No,Germany,Wheat,Erdinger
2,2,2,2,0,product_3197,20-x-franziskaner-weissbier-bottle-case-500ml,94.0,https://www.paneco.com.sg/products/20-x-franziskaner-weissbier-bottle-case-500ml,"Franziskaner Weissbier beer bottle (20 case) Cloudy in appearance, the rich but delicately bitter taste of Franziskaner Weissbier results from the large percentage of wheat malt. The flavours of this wheat beer are fruity, with a touch of citrusy orange, mixed with spices, such as clove and coriander. There's also a touch of other tropical fruits, such as banana. Franziskaner is a beer suitable for all occasions and ideal for food pairing, with either fish or meat dishes, best straight from the grill",,,,,,[],5.0,20 x 500.0ml,No,Germany,Wheat,Franziskaner
3,3,3,3,0,product_823,20-x-paulaner-original-munchner-hell-beer-bottle-case,98.5,https://www.paneco.com.sg/products/20-x-paulaner-original-munchner-hell-beer-bottle-case,"A true Lager beer needs four ingredients: Water, barley malt, hops and yeast. The fact that, despite this, every beer tastes different is due to the quality of the ingredients and the care taken in the brewing process. The brewmasters were among the first to bring Münchner Hell to the Bavarian pumps. Today it is one of the world’s favourite beers. The recipe for success remains: A perfect balance of malty character and the light bitterness of the hops. We rely on local barley malts only. At first, strong in flavour and slightly sweet like a summer day when you drink it. Afterwards, a light touch of hops follows: Not bitter hops, but 100% “Hallertauer Tradition”. For us, one of the finest, most delicious and aromatic hops worldwide. Good enough for this traditional Munich beer, which is ideal to accompany meals like spicy spare ribs. Just try it!","“A true classic of essential Munich and Bavarian food and drinks. Clear and sparkling bright golden in the glass, crowned by a pure white head, it is usually drunk in the shade of a chestnut tree according to tradition. A beer which always goes down well: mild, elegant malts with a hint of sweetness and a soft hint of hops in the background. This is pure Bavarian life style!The fine aroma of the Münchner Hell is the perfect accompaniment for flavourful dishes. So do not miss the delicate combination of our Münchner Hell with spicy spare ribs and barbecue sauce.For the perfect taste experience we recommend to serve the Münchner Hell at a temperature of 7°C.”","The Original Hell is probably the least appreciated beer on the planet. It gets no love because everyone likes the more popular Weissbier. Not me. If you like premium lagers that are crisp on the finish and not too hoppy, then pick up this fine specimen.",,,,[],4.9,20 x 500.0ml,No,Germany,Lager,Paulaner
4,4,4,4,0,product_497,20-x-paulaner-hefe-weissbier-beer-bottle-case-500ml,93.42,https://www.paneco.com.sg/products/20-x-paulaner-hefe-weissbier-beer-bottle-case-500ml,"Naturally cloudy and shining silky gold in the glass under a really strong head of foam. At the first mouthful this Weiser beer classic has a mild aroma of banana. Finer palates detect a trace of mango and pineapple and the balance between sweet and bitter. Beer connoisseurs appreciate the fine note of yeast and the mild but sparkling mix of aromas. It is a typical beergarden beer, which brings people together all over the world. Paulaner uses a unique brewing technique called “yeast in suspension”, which guarantees the uniform slightly cloudy appearance, the constant high quality and the unique taste of the beer. The no. 1 Hefe-Weiser beer in Germany and one of the world’s favourites and is available in a 24 bottle case.","“For friends of good beer, this is one of the world’s best. For beer experts it is a masterpiece. Several generations of brewmasters have devoted their best efforts, passion, experience and time. We are particularly proud of our unique. The characteristic colour is the result of a special mix of four different malts.”",,,,,[],5.5,20 x 500.0ml,No,Germany,Wheat,Paulaner
5,5,5,5,0,product_4071,20-x-paulaner-weissbier-dunkel-beer-bottle-case-500ml,89.42,https://www.paneco.com.sg/products/20-x-paulaner-weissbier-dunkel-beer-bottle-case-500ml,"The unusually high content of finest Munich malt turns this dark version of wheat beer into an intensive taste experience: Light chocolate, cocoa, and tropical fruit flavors impress first. Then wheat, malt, and sparkling roast aroma. Weissbier Dunkel is a muscular beer. Unfiltered, strong, and nutty. At the same time, smooth and soft to the taste. A great accompaniment for any meal. And it even wins over many true wine fans.",,,,,,[],5.3,20 x 500.0ml,No,Germany,Wheat,Paulaner
6,6,6,6,0,product_487,24-x-becks-beer-bottle-case-330ml,60.5,https://www.paneco.com.sg/products/24-x-becks-beer-bottle-case-330ml,"The world's No. 1 German Pilsner in a 24 bottle case. Beck's is renowned for uncompromising quality by consumers in over 85 countries. Since 1873, the brand has been dedicated to innovation and independent thought. True to its original recipe, Beck's has been brewed in the same way using four key natural ingredients for more than 140 years. The malt and noble hops from the Hallertau region and Beck's own yeast strain is used to brew Beck's today and every bottle of Beck's is brewed according to the uncompromising German Reinheitsgebot (Purity Law).","“Golden-coloured German premium beer with wonderful floral and fruity European noble hop aromas. The taste is sweet and soft balanced with a clean, dry hop finish.The perfect accompaniment for Sushi, Spicy Food and Burgers.”",,,,,[],5.0,24 x 330.0ml,No,Germany,Lager,Becks
7,7,7,7,0,product_490,24-x-birra-moretti-beer-bottle-case-330ml,68.63,https://www.paneco.com.sg/products/24-x-birra-moretti-beer-bottle-case-330ml,"Birra Moretti is a quality beer made in the traditional way, with finest quality ingredients, that has remained almost unchanged since 1859. A special blend of quality hops creates a well balanced lager with some hoppy and fruity notes, enhancing its moderate bitterness finish and a clean aftertaste.","“It is not a strong beer and is therefore perfect for drinking at lunch, at dinner or for evenings out with friends. At a meal, this beer is perfect for enhancing simpler dishes: risottos, pasta dishes, main dishes featuring white meats and fresh cheeses.”",,,,,[],4.6,24 x 330.0ml,No,Italy,Lager,Birra Moretti
8,8,8,8,0,product_3164,24-x-blue-moon-belgian-white-beer-bottle-case-330ml,99.95,https://www.paneco.com.sg/products/24-x-blue-moon-belgian-white-beer-bottle-case-330ml,"Blue moon Belgian White Beer Bottle (24 case) Blue moon Belgian White is a wheat beer brewed with orange peel for a subtle sweetness and bright, citrus aroma.",,,,,,"['Chicken', 'Seafood', 'Asian']",5.4,24 x 330.0ml,No,United States,Wheat,Blue Moon
9,9,9,9,0,product_486,24-x-budweiser-beer-bottle-case-330ml,68.65,https://www.paneco.com.sg/products/24-x-budweiser-beer-bottle-case-330ml,"Known as ""The King of Beers"" Budweiser is a medium-bodied, flavorful, crisp American-style lager, packaged in case of 24 bottles. Brewed with the best barley malt and a blend of premium hop varieties, it is an icon of core American values like optimism and celebration. The lager is brewed using fresh, verdant rice – milled, polished, graded and immediately brewed for a light and crisp taste. It’s an expensive process; one we think is worth every grain. Only the supplest, most aromatic hops are selected to create the distinctive flavor of Budweiser. Incredibly, the 30 billion or so yeast cells used to produce every bottle of Budweiser beer are directly descended from the original culture used by Adolphus Busch. Consistently pure water is the key to consistently pure Budweiser beer. Filtered water is flown to their headquarters in St. Louis from around the country daily and tested for purity by our Brewmaster. Taste testing water to brew beer… That’s a commitment to quality.","“Budweiser was first introduced by Adolphus Busch in 1876 and it's still brewed with the same high standards today.The 24 Bottle Case served ice cold is perfect for BBQs, sitting by the pool, or watching the game with friends.”",,,,,[],5.0,24 x 330.0ml,No,United States,Lager,Budweiser
