<<<<<<< HEAD
,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,product_id,product_name,product_price,product_link,Alcohol percentage,Bottle volume ml,Gift box,Country of origin,Varietal,Varietals,Type,Vintage,Organic,Style,Brand,Product_desc,Expert Review,Customer Review,Nose,Palate,Finish,Appearance,alcohol_type,Food Pairing
0,0,0,0,0,0,product_1490,diplomatico-mantuano-rum-700ml,70.95,https://www.paneco.com.sg/products/diplomatico-mantuano-rum-700ml,40.0,700.0ml,No,"Venezuela, Bolivarian Republic of",Aged,,,,,,Diplomatico,"
Mantuano is an excellent blended rum aged for up to eight years in white oak casks, which previously served to age bourbons and malt whisky. It combines column, batch kettle, and pot still distillates elaborated from sugar cane molasses and honeys. Dark golden in color, with an opening aroma of dried fruit (plums), oak and a delicate spiciness. Complex and well-balanced, with notes of dried fruit, wood, and vanilla. Concludes with a harmonious and slightly dry finish, Mantuano is the ideal rum for flavourful cocktails, or can be enjoyed neat.
",,,,,,,Spirit,[]
=======
,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,product_id,product_name,product_price,product_link,Alcohol percentage,Bottle volume ml,Gift box,Country of origin,Varietal,Varietals,Type,Vintage,Organic,Style,Brand,Product_desc,Expert Review,Customer Review,Nose,Palate,Finish,Appearance,alcohol_type,Food Pairing
0,0,0,0,0,0,product_1490,diplomatico-mantuano-rum-700ml,70.95,https://www.paneco.com.sg/products/diplomatico-mantuano-rum-700ml,40.0,700.0ml,No,"Venezuela, Bolivarian Republic of",Aged,,,,,,Diplomatico,"
Mantuano is an excellent blended rum aged for up to eight years in white oak casks, which previously served to age bourbons and malt whisky. It combines column, batch kettle, and pot still distillates elaborated from sugar cane molasses and honeys. Dark golden in color, with an opening aroma of dried fruit (plums), oak and a delicate spiciness. Complex and well-balanced, with notes of dried fruit, wood, and vanilla. Concludes with a harmonious and slightly dry finish, Mantuano is the ideal rum for flavourful cocktails, or can be enjoyed neat.
",,,,,,,Spirit,[]
>>>>>>> e47ce0c3f7db9be48c589d9ac4f5ba092d85190e
1,1,1,1,1,0,product_287,grey-goose-1l,81.8,https://www.paneco.com.sg/products/grey-goose-1l,40.0,1000.0ml,No,France,,,,,,,Grey Goose,"
                  Each batch of Grey Goose vodka begins with soft winter wheat grown on farms in and around the fertile Picardy region of northern France. Grey goose ma?tre de chai Fran?ois Thibault insists on using only the highest-grade wheat¡ªthe same wheat used in the finest french breads and pastries.
 
After the wheat grain is fermented and distilled into a high-proof spirit, it travels south to Gensac-la-Pallue, in the Cognac Arrondissement (region), France, where it is blended with the remarkably pristine spring water found there. Now in a better value one-liter bottle.

<<<<<<< HEAD
                ",¡°Initially soft with a gentle sweetness that gradually envelops the mouth¡ªsmooth and rounded texture with a hint of almond.¡±,,,,,,Spirit,[]
2,2,2,2,2,0,product_65,chivas-regal-18-year,104.95,https://www.paneco.com.sg/products/chivas-regal-18-year,40.0,750.0ml,No,Scotland,,"Blended Whisky, Scotch",,,,,Chivas,"
The winner of the Best Blended Scotch Worldwide award for 2014. The Chivas Regal 18 was carefully created by the master blender Colin Scott, who formulated an amazingly rich and multi-layered whisky, produced from various types of malt and grain whiskys from different distilleries all over Scotland. The Chivas Regal 18 is much more and whisky ¨C it is a luxurious and complex experience waiting for you to discover it.
","¡°This Chivas Regal whisky has a deep amber color and rich, delightful and profound fragrances of dried fruits, butter toffee and dark chocolate. On the palate one can sense the flavors of exquisite and velvety dark chocolate, with delicate flowery features and a hint of soft and sweet smoke. The finish is surprisingly warm and lingering.¡±",Price is reasonable and it is the best 18y whiskey in Asia. ,,,,,Spirit,[]
3,3,3,3,3,0,product_405,crystal-head-1l-w-gift-box,108.45,https://www.paneco.com.sg/products/crystal-head-1l-w-gift-box,40.0,1000.0ml,Yes,Canada,,,,,,,Crystal Head,"
Crystal Head creators philosophy is that the finest vodka is untouched. Naturally smooth. Crystal Head contains no additives. No glycerol, citrus oils or sugars. Nothing is added to enhance or mask the taste. Highest quality peaches and cream corn is distilled four times into a neutral grain spirit and blended with pristine water from Newfoundland, Canada. The liquid is then filtered seven times, of which three are through layers of semi-precious crystals known as Herkimer diamonds. The larger 1L bottle gives you more vodka.
","¡°Dan Aykroyd and John Alexander wanted to craft a vessel worthy of one of the world¡¯s purest vodkas. A symbol of life, reflecting power and enlightenment, to hold their award-winning white spirit of supernatural purity.NOTHING BUT PURE SPIRIT.¡±",,,,,,Spirit,[]
=======
                ",¡°Initially soft with a gentle sweetness that gradually envelops the mouth¡ªsmooth and rounded texture with a hint of almond.¡±,,,,,,Spirit,[]
2,2,2,2,2,0,product_65,chivas-regal-18-year,104.95,https://www.paneco.com.sg/products/chivas-regal-18-year,40.0,750.0ml,No,Scotland,,"Blended Whisky, Scotch",,,,,Chivas,"
The winner of the Best Blended Scotch Worldwide award for 2014. The Chivas Regal 18 was carefully created by the master blender Colin Scott, who formulated an amazingly rich and multi-layered whisky, produced from various types of malt and grain whiskys from different distilleries all over Scotland. The Chivas Regal 18 is much more and whisky ¨C it is a luxurious and complex experience waiting for you to discover it.
","¡°This Chivas Regal whisky has a deep amber color and rich, delightful and profound fragrances of dried fruits, butter toffee and dark chocolate. On the palate one can sense the flavors of exquisite and velvety dark chocolate, with delicate flowery features and a hint of soft and sweet smoke. The finish is surprisingly warm and lingering.¡±",Price is reasonable and it is the best 18y whiskey in Asia. ,,,,,Spirit,[]
