<<<<<<< HEAD
,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,product_id,product_name,product_price,product_link,Bottle volume ml,Varietals,Alcohol percentage,Gift box,Country of origin,Varietal,Organic,Vintage,Style,palate  ,Brand,Product_desc,Expert Review,Customer Review,Appearance,Nose,Palate,Score,Finish,Food Pairing
0,0,0,0,0,0,0,product_1544,3-pack-lanson-black-label-brut-champagne,194.85,https://www.paneco.com.sg/products/3-pack-lanson-black-label-brut-champagne,3 x 750.0ml,"Chardonnay, Pinot Noir",,,,,,,,,Lanson,"
Get this exclusive pack of 3 bottles of Lanson Black Label Brut Champagne. Only at Paneco.com A combination of 50% Pinot Noir, 35% Chardonnay and 15% Pinot Meunier, from numerous crus selected by the Winemaker and from almost ten different years. Lanson Black Label Brut is further enhanced by three years resting in the cellar, including 6 months following disgorging, at which point it reaches perfect maturation. This emblematic wine owes its name to Victor Lanson, who in 1937, wanted to pay tribute to the House’s leading market, Great Britain. The colour black, the symbol of elegance, was a natural choice for this Champagne dominated by Pinot Noir.
",,,,,,91.0,,[]
1,1,1,1,1,1,0,product_2704,aix-rose-750ml,50.95,https://www.paneco.com.sg/products/aix-rose-750ml,750.0ml,,13.0,No,France,Grenache,,,,,AIX Rose,"
AIX Ross is made in the Provence region of France, the Provence region is known for making the best rosés in the world. From the renowned appellation ‘AOP Coteaux d’Aix en Provence’, AIX nurtures its heritage and has a passion and dedication to make the best Provence Rosé. Ripe red fruits, layers of intense acidity and tangy texture come together to make a wine that is packed with fruitiness as well as great freshness.
","“This soft, bright and ripe wine is full of red fruits. Acidity is balanced in this wine with a fresh aftertaste and tangy texture. It is rich, generous and ready to drink.”",,Salmon pink,"fresh red fruits, peach and subtle flower hints",Roundness on the palate and a beautiful aromatic depth,92.0,,"['Beef', 'Chicken', 'Seafood', 'Pork']"
2,2,2,2,2,2,0,product_3330,alberto-nani-prosecco-doc-spumante-extra-dry-1500ml,69.95,https://www.paneco.com.sg/products/alberto-nani-prosecco-doc-spumante-extra-dry-1500ml,1500.0ml,,11.0,No,Italy,Glera,Yes,,,,Alberto Nani,"
Alberto Nani Organic and Vegan Prosecco is an authentic wine dedicated to man, to nature and to the passion for winemaking. Certified organic, the wine is crafted from Glera grapes grown without pesticides, insecticides and herbicides in the hilly vineyards of Italy’s famed Prosecco DOC region. The clay soil here is rich in minerals, essential for producing high quality Prosecco, and the climate is perfect for locking in the grapes of refreshing characteristics. The wine is a perfect expression of this exceptional terroir. The elegant structure is a true delight and makes it extremely versatile to be paired with a wide variety of food and flavours. It is perfect as an aperitif, as well as throughout the meal.
",,,Pale straw yellow,"Intense, with floral notes",Harmonic with a mineral finish,,,"['Fish', 'Seafood', 'Salad', 'Salmon']"
3,3,3,3,3,3,0,product_2815,alberto-nani-prosecco-doc-spumante-extra-dry-750ml,31.95,https://www.paneco.com.sg/products/alberto-nani-prosecco-doc-spumante-extra-dry-750ml,750.0ml,,11.0,No,Italy,Glera,Yes,,,,Alberto Nani,"
Alberto Nani Organic and Vegan Prosecco is an authentic wine dedicated to man, to nature and to the passion for winemaking. Certified organic, the wine is crafted from Glera grapes grown without pesticides, insecticides and herbicides in the hilly vineyards of Italy’s famed Prosecco DOC region. The clay soil here is rich in minerals, essential for producing high quality Prosecco, and the climate is perfect for locking in the grapes of refreshing characteristics. The wine is a perfect expression of this exceptional terroir. The elegant structure is a true delight and makes it extremely versatile to be paired with a wide variety of food and flavours. It is perfect as an aperitif, as well as throughout the meal.
",,,Pale straw yellow,"Intense, with floral notes",Harmonic with a mineral finish,93.0,,"['Chicken', 'Fish', 'Cheese', 'Dessert']"
4,4,4,4,4,4,0,product_3745,amarama-primitivo-puglia-igt-750ml,48.5,https://www.paneco.com.sg/products/amarama-primitivo-puglia-igt-750ml,750.0ml,,13.5,No,Italy,Primitivo Zinfandel,,2020.0,,,Amarama,"
Amarama Primitivo Puglia IGT wine is made from 100% Primitivo grapes aged in old French oak barrels for 3 months. The wine has a dark ripe fruit color, with prominent aromas of herbs, violets and tobacco and fruit. The aromas of black cherries and licorice are very pronounced. Amarrama primitive is quite complex, due to aging in oak barrels for 3 months, medium tannins create a balance in the sweetness of ripe black berries along with mild spicy flavors of black pepper and tobacco.
",,,Dark ruby red,Aromas of black cherries and licorice are very pronounced,Medium tannins create a balance in the sweetness of ripe black berries along with mild spicy flavors of black pepper and tobacco,90.0,,"['Beef', 'Pork', 'Pasta', 'Lamb']"
5,5,5,5,5,5,0,product_2956,amodo-nero-d-avola-sicilia-doc-750ml,30.5,https://www.paneco.com.sg/products/amodo-nero-d-avola-sicilia-doc-750ml,750.0ml,,13.5,No,Italy,Nero d'avola,,2018.0,,,Amodo,"
Amondo Nero d'Avole is the pure expression of a unique territory, surrounded by the sea, Sicily. A full bodied wine with hints of berries, dried plum and chocolate finish.
","“Round and fruity, with soft and persistent tannins, with a nice large fruity finish, with clear hints of dark chocolate.”",,Ruby red,"Cherry, black pepper",Smooth on the palate,,,"['Beef', 'Duck', 'Pasta', 'Lamb']"
6,6,6,6,6,6,0,product_2199,amodo-pinot-noir-provincia-di-pavia-igt-750ml,32.1,https://www.paneco.com.sg/products/amodo-pinot-noir-provincia-di-pavia-igt-750ml,750.0ml,,12.0,No,Italy,Pinot Noir,,2022.0,,,Amodo,"
Amodo Pinot Noir is elegant, suggesting fruit and rose petals aromas, full flavoured with abundant spice notes and lengthy finish.
",,,Red ruby,"Cherry, strawberry and some pepper",Well balanced acidity and tannins.,,,"['Beef', 'Duck', 'Lamb', 'Venison']"
7,7,7,7,7,7,0,product_1214,anna-de-codorniu-blanc-brut,29.95,https://www.paneco.com.sg/products/anna-de-codorniu-blanc-brut,750.0ml,,11.5,No,Spain,Chardonnay,,,,,Anna de Codorniu,"
Anna de Codorníu Blanc de Blancs Reserva is a unique edition for selected gastronomy. The vivacity, freshness and fruitiness of Anna are enriched by aging in cavas over 15 months. Purity, liveliness and femininity define this cava, and the combination of Chardonnay with the three classic grapes, Parellada, Xarel·lo and Macabeo, stand out as a sparkling and very fresh cava from the fruity and floral aromas of its aging.
","“Codorniu’s Cava lineup begins with the Non-Vintage Anna Brut. Brioche, baking spices, floral notes, and green apple inform the nose of this just off-dry, smooth-textured, nicely balanced sparkling wine. Drink this very good value over the next 12-18 months.”",,"Brilliant yellow colour with green reflections. Fine, persistent bubbles forming continuous beads.","Displays citrus and tropical fruit notes along with more complex ageing aromas (toast, brioche) that enrich the range of aromas.","Creamy, wide, and long-lasting.",,,"['Fish', 'Seafood', 'Cheese', 'Sushi']"
8,8,8,8,8,8,0,product_1215,anna-de-codorniu-rose,29.95,https://www.paneco.com.sg/products/anna-de-codorniu-rose,750.0ml,"Chardonnay, Pinot Noir",12.0,No,Spain,,,,,,Anna de Codorniu,"
Anna de Codorniu Brut Rosé combines glamor, femininity, innovation and modernity with the experience and history of what is probably the pink version of the most emblematic product of Codorníu, Anna de Codorníu. Both the Pinot Noir and Chardonnay grapes come from vineyards located in Lleida, the region with the most continental climate in D.O. Cava. This location provides the grapes with optimum concentration, lower acidity and greater body and intensity. Harvest of the grapes take place towards the middle of August and is always carried out at night, so as to keep the grapes as fresh as possible, thereby retaining aroma and avoiding oxidation or spontaneous fermentation.
",“Nice refreshing cava to start a meal. Nice acidity and well balanced fruit makes it a drink to go along with your meal.”,,Delicate red cherry colour. Fine and persistent bubbles.,"Aromas of red fruit, strawberries, cherries and woodland fruits with hints of green apple.",Elegant and light. Well balanced between acidity and sweetness with a refreshing finish.,,,"['Beef', 'Chicken', 'Fish', 'Seafood']"
=======
